DateTime,User,Tweet
2023-01-01 05:03:54+00:00,bsindia,"Eight of the 10 most valued firms together added Rs 1,35,794.06 crore in market valuation last week, with State Bank of India and Reliance Industries Limited emerging as the biggest winners. https://t.co/g7J5PmFo5J"
2022-12-31 09:00:02+00:00,bqprime,"Why does #RIL Chairman #MukeshAmbani believe the next 25 years are going to be the most transformational in the history of India? 

Read: https://t.co/OYrUAp4GnI https://t.co/gpURIFbatR"
2022-12-31 05:10:30+00:00,livemint,"Adani Port CEO Karan Adani will represent the ports and special economic zones while Anant Ambani, the director of Reliance New Energy Solar Limited, will represent the power sector, according to the CMO.

https://t.co/C16iyvNCll"
2022-12-30 11:05:30+00:00,bsindia,"Reliance Industries and its partner bp plc of the UK have sought bids for the sale of natural gas from the eastern offshore KG-D6 block at a price linked to the rate at which LNG is delivered to Japan and Korea.

#RIL #RelianceIndustries #UK #LNG

https://t.co/sGwLl6aSqn"
2022-12-30 05:08:03+00:00,bsindia,"#MarketsWithBS | Lotus Chocolate hits 5% upper limit as Reliance Retail eyes majority stake

#StockMarketindia #Markets #StocksInFocus
https://t.co/5sYixK6jfm"
2022-12-30 03:15:40+00:00,bsindia,"#MarketsWithBS | From Elin Electronics to RIL, here are the stocks to watch in today's trade 

#StocksToWatch #StockMarketindia #Markets #StocksInFocus
https://t.co/OvFcs6Gyml"
2022-12-30 00:15:00+00:00,livemint,"Ambani said Reliance will complete its 50 years in the next five years and he wants to spell out its expectations from the leaders and employees.

https://t.co/GkPi1mgt9G"
2022-12-29 20:15:30+00:00,livemint,"Ambani said Reliance will complete its 50 years in the next five years and he wants to spell out its expectations from the leaders and employees.

https://t.co/GkPi1mgt9G"
2022-12-29 16:37:28+00:00,IndianExpress,"Reliance Consumer Products Ltd, the fast-moving consumer goods arm of Reliance Industries Ltd, will acquire a controlling stake in Lotus Chocolate, as per a regulatory filing.

https://t.co/Zh0CQYqhpL"
2022-12-29 16:03:10+00:00,EconomicTimes,"Thane District Consumer Disputes Redressal Commission has directed Reliance Communications Limited and one of its galleries to pay Rs 35,000 to a consumer for creating hurdles when he tried to port out his mobile number and abruptly disconnecting it.
https://t.co/ZemnwhgpMe"
2022-12-29 15:28:47+00:00,EconomicTimes,"#India can become $40 Trillion economy by 2047, says #MukeshAmbani at #RIL Family Day 2022 | 🛰️Catch the day's latest news and updates ➠ https://t.co/ZufMVL273F https://t.co/c13iZ7yb3Y"
2022-12-29 14:40:00+00:00,bqprime,"#Reliance Chairman #MukeshAmbani lays down the path for the conglomerate to become India's 'greenest' corporate. 

Read: https://t.co/O5N6ZOAlv7 https://t.co/F23BuyrLnn"
2022-12-29 13:50:01+00:00,the_hindu,"Billionaire #MukeshAmbani has a pan-India 5G mobile network rollout plan by 2023-end, chasing more ambitious goals in retail and making #Reliance India's greenest corporate as goals for his three children, cited #Messi to explain leadership and teamwork.
https://t.co/3IGPOOa57R"
2022-12-29 13:18:33+00:00,bqprime,"What role will #Jio platforms and retail play in #Reliance's future growth and business strategy? 

Chairman #MukeshAmbani explains. 

Read: https://t.co/O5N6ZOATkF https://t.co/MQgbqeHZ8i"
2022-12-29 12:00:22+00:00,DeccanHerald,"The Thane District Consumer Disputes Redressal Commission has directed #Reliance Communications to pay Rs 35,000 to a consumer for creating hurdles when he tried to port out his mobile number and abruptly disconnecting it.

 https://t.co/SWeKsV5phB"
2022-12-29 10:57:04+00:00,business,Billionaire Mukesh Ambani outlines his ambitions for various businesses under his flagship Reliance that are now helmed by his three children https://t.co/lyg4G0MhmI
2022-12-29 10:34:46+00:00,CNNnews18,"Reliance Industries Limited chairman Mukesh Ambani's son Anant Ambani got engaged to Radhika Merchant on Thursday. The couple visited #ShrinathjiTemple in #Rajasthan where their 'Roka' ceremony was held

#anantambani #radhikamerchant #mukheshambani #ambani https://t.co/ZWY8TTG0uv"
2022-12-29 10:07:11+00:00,livemint,"Ambani said Reliance will complete its 50 years in the next five years and he wants to spell out its expectations from the leaders and employees.

https://t.co/GkPi1mh0Ze"
2022-12-29 09:45:33+00:00,bsindia,"Mukesh Ambani, Chairman &amp; MD, RIL said that Reliance has begun implementing two important tasks of empowering young leadership and young talent.

#MukeshAmbani #RIL #RelianceIndustries 

https://t.co/Nj6FAqteqf"
2022-12-29 09:30:23+00:00,bqprime,"#AnantAmbani, the youngest son of Reliance Chairperson Mukesh Ambani and Nita Ambani, gets engaged to #RadhikaMerchant, the daughter of Viren Merchant and Shaila Merchant in Rajasthan.

Source: Media Statement

For the latest news and updates, visit: https://t.co/gXeGqKQ77P https://t.co/9H983Yee7f"
